Mois,Exxon Mobil,Energy industry,Oil industry
2004-01,41,3,19
2004-02,43,11,30
2004-03,47,14,31
2004-04,32,21,23
2004-05,41,9,26
2004-06,40,16,24
2004-07,47,17,21
2004-08,42,13,18
2004-09,33,10,20
2004-10,37,12,32
2004-11,46,7,36
2004-12,27,7,21
2005-01,41,12,18
2005-02,47,9,23
2005-03,46,8,26
2005-04,52,9,26
2005-05,42,11,21
2005-06,50,10,19
2005-07,40,11,18
2005-08,49,11,25
2005-09,57,10,28
2005-10,54,16,25
2005-11,49,8,24
2005-12,48,9,17
2006-01,41,11,23
2006-02,47,9,22
2006-03,45,14,27
2006-04,100,13,29
2006-05,58,10,31
2006-06,53,11,20
2006-07,52,11,16
2006-08,48,7,17
2006-09,43,7,19
2006-10,44,11,21
2006-11,41,7,19
2006-12,48,6,13
2007-01,54,11,15
2007-02,56,10,22
2007-03,50,8,19
2007-04,62,12,18
2007-05,67,9,21
2007-06,58,9,17
2007-07,54,9,17
2007-08,49,8,13
2007-09,47,7,16
2007-10,47,11,19
2007-11,50,11,20
2007-12,45,8,17
2008-01,48,9,18
2008-02,69,11,19
2008-03,69,9,20
2008-04,63,12,27
2008-05,63,13,28
2008-06,70,10,24
2008-07,61,14,21
2008-08,64,9,19
2008-09,71,11,22
2008-10,80,12,21
2008-11,71,12,22
2008-12,64,10,17
2009-01,70,10,17
2009-02,63,13,19
2009-03,66,14,19
2009-04,66,11,18
2009-05,60,12,16
2009-06,60,10,14
2009-07,63,9,12
2009-08,65,8,11
2009-09,66,7,16
2009-10,61,12,14
2009-11,52,11,17
2009-12,66,9,12
2010-01,58,10,13
2010-02,60,10,15
2010-03,58,11,17
2010-04,62,12,16
2010-05,56,10,26
2010-06,62,9,24
2010-07,52,7,16
2010-08,48,8,11
2010-09,50,7,16
2010-10,45,9,16
2010-11,45,8,15
2010-12,44,8,14
2011-01,41,9,13
2011-02,48,11,15
2011-03,57,9,16
2011-04,59,8,20
2011-05,55,8,15
2011-06,55,7,13
2011-07,56,6,12
2011-08,62,6,12
2011-09,55,7,15
2011-10,51,8,16
2011-11,49,8,19
2011-12,50,6,13
2012-01,53,8,15
2012-02,51,8,17
2012-03,52,9,18
2012-04,57,10,18
2012-05,56,7,16
2012-06,61,7,13
2012-07,53,6,13
2012-08,50,6,12
2012-09,55,7,16
2012-10,62,9,18
2012-11,57,8,17
2012-12,46,5,11
2013-01,51,7,16
2013-02,53,7,15
2013-03,54,8,15
2013-04,65,8,17
2013-05,51,7,16
2013-06,46,5,12
2013-07,51,6,13
2013-08,46,5,14
2013-09,46,6,17
2013-10,50,8,18
2013-11,54,6,16
2013-12,54,6,14
2014-01,48,6,16
2014-02,45,8,17
2014-03,48,7,18
2014-04,48,7,21
2014-05,49,7,19
2014-06,46,7,14
2014-07,48,6,14
2014-08,43,6,13
2014-09,45,7,17
2014-10,49,8,20
2014-11,45,7,18
2014-12,58,7,17
2015-01,52,6,22
2015-02,62,8,20
2015-03,52,7,19
2015-04,45,8,20
2015-05,42,6,15
2015-06,42,7,14
2015-07,50,5,13
2015-08,50,5,14
2015-09,52,6,15
2015-10,45,7,17
2015-11,43,7,16
2015-12,43,5,15
2016-01,46,7,19
2016-02,43,8,18
2016-03,37,8,18
2016-04,38,8,19
2016-05,40,6,16
2016-06,38,5,11
2016-07,41,5,11
2016-08,37,4,10
2016-09,34,6,15
2016-10,32,6,15
2016-11,34,8,19
2016-12,57,6,13
2017-01,42,7,15
2017-02,38,7,16
2017-03,47,8,15
2017-04,40,8,16
2017-05,39,7,13
2017-06,42,6,11
2017-07,38,5,9
2017-08,39,5,10
2017-09,39,6,13
2017-10,40,7,15
2017-11,37,6,14
2017-12,37,5,12
2018-01,42,6,14
2018-02,42,6,14
2018-03,40,6,13
2018-04,41,7,17
2018-05,43,8,16
2018-06,40,4,10
2018-07,52,5,10
2018-08,41,4,10
2018-09,37,6,14
2018-10,41,7,15
2018-11,37,5,12
2018-12,37,4,12
2019-01,35,5,13
2019-02,36,7,15
2019-03,31,7,16
2019-04,33,7,16
2019-05,32,6,12
2019-06,32,4,11
2019-07,32,3,9
2019-08,34,4,10
2019-09,37,5,14
2019-10,34,5,14
2019-11,34,5,14
2019-12,32,5,11
2020-01,32,6,13
2020-02,37,7,16
2020-03,74,6,20
2020-04,67,7,27
2020-05,40,6,15
2020-06,39,5,10
2020-07,31,4,10
2020-08,28,4,10
2020-09,29,6,13
2020-10,28,6,28
2020-11,26,6,18
2020-12,25,5,11
2021-01,27,6,17
2021-02,35,7,16
2021-03,33,6,12
2021-04,30,6,14
2021-05,30,5,12
2021-06,29,3,9
2021-07,26,4,7
2021-08,22,4,8
2021-09,21,5,11
2021-10,27,5,13
2021-11,26,6,12
2021-12,25,4,10
2022-01,26,6,12
2022-02,31,8,15
2022-03,39,9,23
2022-04,28,10,20
2022-05,31,9,16
2022-06,42,7,15
2022-07,28,5,11
2022-08,27,5,11
2022-09,23,8,15
2022-10,30,7,16
2022-11,26,7,15
2022-12,22,7,13
2023-01,21,7,12
